date,spy_ret1d,strategy_ret1d,final_allocation,applied_allocation,p_structural,p_shock,risk_regime,tactical_gate_on,early_struct_level,split_test_year
2020-09-16,0.006641465573140826,0.006641465573140826,1.0,1.0,0.07426207710906148,4.535343141957563e-08,LOW,0,0,2020
2020-09-17,-0.005097380293283993,-0.005097380293283993,1.0,1.0,0.08744367978186307,4.535343218236197e-08,LOW,0,0,2020
2020-09-18,0.003158095335399125,0.003158095335399125,1.0,1.0,0.09776698608835128,4.535343218236197e-08,LOW,0,0,2020
2020-09-21,-0.026784096108099842,-0.026784096108099842,1.0,1.0,0.13095979385130804,4.535343231201164e-08,LOW,0,1,2020
2020-09-22,0.0021321548117687605,0.0021321548117687605,1.0,1.0,0.12122196492213767,4.535343218236197e-08,LOW,0,1,2020
2020-09-23,-0.024577130583856466,-0.024577130583856466,0.3,1.0,0.2425290764908915,4.535343241573377e-08,LOW,1,1,2020
2020-09-24,-0.0018056776602491942,-0.0006817032980747583,0.3,0.3,0.219621269341585,4.535343218236197e-08,LOW,1,1,2020
2020-09-25,0.010528897344787236,0.0031586692034361705,1.0,0.3,0.09731969827661353,4.535343218236197e-08,LOW,0,0,2020
2020-09-28,0.007302576380254555,0.007162576380254555,1.0,1.0,0.11811474384549443,4.535343218236197e-08,LOW,0,0,2020
2020-09-29,0.006205564286360321,0.006205564286360321,1.0,1.0,0.11518377305964171,4.535343218236197e-08,LOW,0,0,2020
2020-09-30,-0.0016013958049559962,-0.0016013958049559962,1.0,1.0,0.09367969887555565,4.535343218236197e-08,LOW,0,0,2020
2020-10-01,0.010036754391682168,0.010036754391682168,1.0,1.0,0.09567025257250483,4.535343218236197e-08,LOW,0,0,2020
2020-10-02,-0.012831186104828918,-0.012831186104828918,1.0,1.0,0.09807103076226126,4.5353431152973175e-08,LOW,0,0,2020
2020-10-05,0.027306811601272907,0.027306811601272907,1.0,1.0,0.032570346115108756,4.535343218236197e-08,LOW,0,0,2020
2020-10-06,-0.0128956884197029,-0.0128956884197029,1.0,1.0,0.12316600376839022,4.535343218236197e-08,LOW,0,0,2020
2020-10-07,0.014834562774380222,0.014834562774380222,1.0,1.0,0.04974296921049346,4.535343218236197e-08,LOW,0,0,2020
2020-10-08,0.004612538077640949,0.004612538077640949,1.0,1.0,0.043131880283548384,4.535343218236197e-08,LOW,0,0,2020
2020-10-09,0.015126713373452727,0.015126713373452727,1.0,1.0,0.03790047012440063,4.5353432182361814e-08,LOW,0,0,2020
2020-10-12,0.0016295861231654385,0.0016295861231654385,1.0,1.0,0.03076870197796892,4.5353432182361814e-08,LOW,0,0,2020
2020-10-13,-0.0018981543242143628,-0.0018981543242143628,1.0,1.0,0.0342892407801251,4.535343218236197e-08,LOW,0,0,2020
2020-10-14,-0.006055942241999013,-0.006055942241999013,1.0,1.0,0.02844932717797342,4.5353431152973175e-08,LOW,0,0,2020
2020-10-15,-0.006155955610050778,-0.006155955610050778,1.0,1.0,0.02842101976276092,4.5353432182361814e-08,LOW,0,0,2020
2020-10-16,-0.0002455974196552413,-0.0002455974196552413,1.0,1.0,0.014965682086543532,4.535343246081119e-08,LOW,0,0,2020
