date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-11-06,0.0099714149270166,0.0604493621255569,2,LOW,0.25844357568559184,0.1717482191531812,0.208683221080877,-0.0157276967155857,0.0845313941740154,0.2140051807615109,NEUTRAL,1.0,0.0276386964465057,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0248475890632279,-0.0140034878153826,0.0098735165601195,0.8128227245435595
2025-11-05,0.0083905160669629,0.0554028298178078,1,LOW,0.25617032711764315,0.2631569245779033,0.241187706476527,-0.1489903458934712,0.2266600874439753,0.2939546161465514,NEUTRAL,1.0,0.024844825879758614,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0142713293603526,-0.0142713293603526,0.0095771348454228,0.8106184352786346
2025-11-04,0.0145494119932138,0.0628346647082094,2,LOW,0.3022758702105767,0.2282157647177502,0.1827639930509664,0.0793013281633965,0.2940945096878652,0.3354223296016662,BEAR,1.5,0.0471738756651934,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0176755454195144,-0.0172037093894611,0.0096356611995235,0.8084345386515502
2025-11-03,0.0110699212035001,0.0445680375314128,0,LOW,0.1103307863768975,0.0571355727056315,0.0679027355046319,0.5340576229220262,0.0,0.1606395553178941,NEUTRAL,1.0,0.022794261918269543,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.005891789103178,-0.0027726720681228,0.0092504668699733,0.8062374150477113
2025-10-31,0.0101778272570905,0.0425119537061997,0,LOW,0.1173041592604927,0.067248600071881,0.0905416471007689,0.4529626672004764,0.0,0.1784527531867553,BULL,0.6,0.012896862908567232,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0077539289503257,0.0071022643817577,0.0092677807029965,0.8055771380242448
2025-10-30,0.0082395069023511,0.0468284054795579,2,LOW,0.18882449562543602,0.097063526826109,0.1420859638691825,0.2517403414390177,0.0327335274538086,0.213434615981445,BULL,0.6,0.013047372842624087,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0109981131919205,0.0120131879067113,0.0092542493623857,0.8049051948913285
2025-10-29,0.0056430992100585,0.0450337180633204,0,LOW,0.24099265415739948,0.2823855528158895,0.253775957836289,-0.1791179476653811,0.2197791641085282,0.3400554662642565,BULL,0.6,0.0116578894852201,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0293351361261344,0.0088259609802248,0.8047025632572414
2025-10-28,0.0061215954030419,0.046655761653508,0,LOW,0.17619591711015095,0.1760870451820003,0.2036881371628039,0.011748569045258,0.080646328904403,0.2631375221985095,BULL,0.6,0.012185132154423019,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0234921340129969,0.0088335599444387,0.8046856205388901
2025-10-27,0.0044074745852554,0.0425951130946447,0,LOW,0.2533781476770703,0.306477121040992,0.2905677088653964,-0.3255233516324496,0.1647277945866696,0.3326768543515271,BULL,0.6,0.010663888838124991,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0207656726251403,0.0088441567510793,0.8059226977553774
2025-10-24,0.0043613515053009,0.0425951130946447,0,LOW,0.24318959923982006,0.2902145687802779,0.2823134761308269,-0.3040601088035581,0.1417993703239765,0.3166953379966765,BULL,0.6,0.010645900836942735,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0193560555245153,0.0085232347326511,0.8071200744219413
