date,vol20,hurst_100,drawdown_252,ret5d,external_event,is_trading_day
2018-08-29,0.004459821317685851,0.8025111608629044,0.0,0.018555734146639802,0,1
2018-08-30,0.004562838429347548,0.8038361533708563,0.004048637285786194,0.01578036102302649,0,1
2018-08-31,0.004519795549282458,0.8053165310430047,0.004014172288989815,0.009738672485538613,0,1
2018-09-03,0.004487850496604603,0.8063932504517339,0.004014172288989815,0.0018288420591314747,0,0
2018-09-04,0.004492592960648645,0.8073181927926433,0.005729658682432581,-0.0003794993257943968,0,1
2018-09-05,0.00455188910097532,0.8081974015832386,0.008405342239182656,-0.008405342239182656,0,1
2018-09-06,0.004604419442546703,0.8089955779858128,0.011390152115321572,-0.00737135878756956,0,1
2018-09-07,0.004324572967204446,0.8098333827570277,0.013311487465739291,-0.009334786618517166,0,1
2018-09-10,0.004194076909584074,0.8105400831981618,0.011596001072296636,-0.007612386213096456,0,1
2018-09-11,0.004042189291419493,0.8117326531791255,0.008336647501540617,-0.0026220120532343127,0,1
2018-09-12,0.003537670392651116,0.8126936730720333,0.008096568803720006,0.0003113907815517347,0,1
2018-09-13,0.003345747418722357,0.8128693155551376,0.0022301087858804802,0.009265579691564607,0,1
2018-09-14,0.0033061998845035005,0.8132701917758283,0.0020587248257017965,0.011404574490418762,0,1
2018-09-17,0.003579813435923572,0.8142687555995433,0.007342220597387761,0.004303686022642195,0,1
2018-09-18,0.0037203937504156474,0.814936542412353,0.0019556827192388493,0.006434607839671758,0,1
2018-09-19,0.003706180008444781,0.8159898050492302,0.0008918553095915716,0.007263523108735681,0,1
2018-09-20,0.003998749166008784,0.8167797425906076,0.0,0.009455674206181763,0,1
2018-09-21,0.00387150019139974,0.8167519921077477,0.0009135046989667828,0.008360328656344285,0,1
2018-09-24,0.0036257250901433826,0.8170697988529293,0.00423269634424106,0.01035957037360058,0,1
2018-09-25,0.0036386570743868396,0.817354906745253,0.005156361476448712,0.00397442329788511,0,1
2018-09-26,0.0035118798327385204,0.8172163696932392,0.008133368416024633,-9.57169096459376e-05,0,1
2018-09-27,0.003433611741710153,0.8173163928230098,0.005361789086456792,-0.005361789086456792,0,1
2018-09-28,0.0034333687489784127,0.8173539882795412,0.00525925046133624,-0.0043497192513447525,0,1
2018-10-01,0.0035044424261957197,0.8171586019337542,0.00180318493378262,0.002439838505983394,0,1
2018-10-02,0.0034759693288768517,0.8169944714665666,0.0023848989334700477,0.0027858272754217595,0,1
2018-10-03,0.0033923075833379845,0.8166231555679534,0.0018374034043526777,0.006347592318553641,0,1
2018-10-04,0.0038126669928793266,0.8163558084388907,0.009638630761330647,-0.004299896814687676,0,1
2018-10-05,0.004015722939244613,0.8161234806276672,0.015181672633877485,-0.009974882578343114,0,1
2018-10-08,0.004001089389690431,0.8160273227918179,0.015181672633877485,-0.01340265516596284,0,1
2018-10-09,0.003947338978521096,0.8162235318141634,0.01661884839781058,-0.014267977147823241,0,1
2018-10-10,0.008092452625390018,0.815602711729827,0.04775584642423414,-0.04600296903179091,0,1
2018-10-11,0.009070820203804418,0.8157069998198102,0.06873054262436074,-0.0596670202397499,0,1
2018-10-12,0.009814873272874544,0.8156835761676107,0.055796895041673844,-0.04124133485251136,0,1
2018-10-15,0.009820211636416176,0.8158477864756233,0.061100349226936745,-0.04662654554355017,0,1
2018-10-16,0.011110837238811342,0.8156040157274451,0.040570434750924034,-0.024356361024501894,0,1
2018-10-17,0.011101593211398544,0.8147433134404902,0.0403992256114859,0.007725561543353576,0,1
2018-10-18,0.011208732500207985,0.8151921066455435,0.05425712225932533,0.015541603185207142,0,1
2018-10-19,0.011212193562594905,0.8152242262273472,0.054770340924578664,0.0010872174765201859,0,1
2018-10-22,0.011218593905344791,0.8152486818859744,0.05901296412888246,0.0022232249168860907,0,1
2018-10-23,0.011221332398241636,0.8152887275082095,0.0638036084019542,-0.02421561153892382,0,1
2018-10-24,0.012777094828602236,0.8135903397962739,0.09216879352563179,-0.05394906850417558,0,1
2018-10-25,0.013641759988858693,0.8133465847546163,0.07588144386062834,-0.02286490557873644,0,1
2018-10-26,0.013960123406435184,0.812026075514701,0.09213457505506217,-0.039529265477166065,0,1
2018-10-29,0.013835238994351698,0.8105084354062799,0.09716433986906114,-0.04054399719211865,0,1
2018-10-30,0.01450170543141981,0.810363461859356,0.0837856769890829,-0.02134388549930233,0,1
2018-10-31,0.014847220250553515,0.8105096315238162,0.07399971994575949,0.020013713397706745,0,1
2018-11-01,0.015144656742533395,0.8107913978550426,0.06414538435459138,0.012699733630569865,0,1
2018-11-02,0.015148094558533073,0.8110547566481673,0.069688426227138,0.024724092592561808,0,1
2018-11-05,0.015250370684661119,0.8112198577515127,0.06455600600142919,0.03611768487622946,0,1
2018-11-06,0.015376079669045119,0.8111343249350443,0.05863673613249765,0.02744875322832696,0,1
2018-11-07,0.014557517361090126,0.8097290673085998,0.038483283226047216,0.03835467168285511,0,1
2018-11-08,0.013573441857246767,0.808384957506047,0.040228016472047656,0.0255567130649339,0,1
2018-11-09,0.013476312657385107,0.8078158232793834,0.04960352704841631,0.02158943277171943,0,1
2018-11-12,0.014087070622503979,0.8079495979546895,0.06736197898145024,-0.0029996162229091183,0,1
2018-11-13,0.013091336867733968,0.8080322371515057,0.06910706258721766,-0.011122514396518568,0,1
2018-11-14,0.013139948841627497,0.8083130728317899,0.07547128936014613,-0.03846839632513077,0,1
2018-11-15,0.013055303878542897,0.8084826880148428,0.06582249816557462,-0.026667252360759952,0,1
2018-11-16,0.013074103878180116,0.8086158682471726,0.06339257800205478,-0.014508735402620654,0,1
2018-11-19,0.013565818670630789,0.8084224225530066,0.0792351459429449,-0.012730734426340207,0,1
2018-11-20,0.014099987432936827,0.8071201396913901,0.09627495160071775,-0.02918476220155608,0,1
2018-11-21,0.01241113203959654,0.8061850094385978,0.09319563960919941,-0.019171227507674082,0,1
2018-11-22,0.011673886379729074,0.8051999383619933,0.09319563960919941,-0.029301863286016472,0,0
2018-11-23,0.011092538887096237,0.8039270706110477,0.09925154978723227,-0.03828602138202597,0,1
2018-11-26,0.011604892157654078,0.8041147477300187,0.08470980926764637,-0.0059457779047269455,0,1
2018-11-27,0.011147649588586475,0.8046737426380062,0.08163055566942246,0.016204481614440214,0,1
2018-11-28,0.012063989691990901,0.8048138966458224,0.060484416756679926,0.036073076267985726,0,1
2018-11-29,0.011851980479250956,0.8055132258673852,0.06253711623780878,0.033809413265478705,0,1
2018-11-30,0.011832383810404043,0.8060554935600249,0.0568232739788852,0.04710335698976209,0,1
2018-12-03,0.012118662264310222,0.805736864061014,0.04433429133372291,0.04411225897834403,0,1
2018-12-04,0.014167283333412457,0.8070348970824311,0.07530019700729695,0.006893041467358474,0,1
2018-12-05,0.01317523705633391,0.8087095902146757,0.07530019700729695,-0.01576959500711117,0,0
2018-12-06,0.01317546781648504,0.8100739743986651,0.07670297912077684,-0.015110851990340235,0,1
2018-12-07,0.013924212439326976,0.8108780838523785,0.09815673390888102,-0.04382366399599902,0,1
2018-12-10,0.01341845327167825,0.8120328065845445,0.09644592716697808,-0.05452914691893873,0,1
2018-12-11,0.013423573621561663,0.813454607112277,0.09624073313014803,-0.02264576682624897,0,1
2018-12-12,0.013432618663972558,0.8144027448063286,0.091689968510832,-0.017724424132557592,0,1
2018-12-13,0.013171854475169774,0.8154762610568129,0.09199775956607703,-0.016565395641302327,0,1
2018-12-14,0.01367310534854349,0.8162503147414055,0.10876387585258585,-0.011761624599892717,0,1
